Escherichia coli
Prunus armeniaca
Candida parapsilosis
Desmodium styracifolium
Malus spectabilis
Homo sapiens
Echinacea angustifolia
Potentilla chinensis
Corydalis bungeana
Ephedra sinica
Lespedeza cuneata
Juglans regia
Ricinus communis
Fagopyrum esculentum
Clostridium acetobutylicum
Euphorbia pekinensis
Myzus persicae
Commelina communis
Sansevieria trifasciata
Equisetum arvense
Cibotium barometz
Melastoma dodecandrum
Rumex japonicus
Cnaphalocrocis medinalis
Phytophthora sojae
Cistanche tubulosa
Ligustrum japonicum
Streptococcus equi
Mangifera indica
Zizania latifolia
Vaccinium myrtillus
Corydalis yanhusuo
Quillaja saponaria
Bursaphelenchus xylophilus
Fagopyrum tataricum
Momordica cochinchinensis
Hibiscus mutabilis
Microcos paniculata
Viola mandshurica
Mentha arvensis
Rubus idaeus
Vibrio anguillarum
Paralichthys olivaceus
Trollius chinensis
Dictyophora indusiata
Urtica dioica
Mycoplasma gallisepticum
Apis cerana
Plantago ovata
Idesia polycarpa
Monochoria vaginalis
Nasonovia ribisnigri
Angelica pubescens
Chelidonium majus
Trichophyton rubrum
Proteus vulgaris
Heracleum hemsleyanum
Yersinia enterocolitica
Cyprinus carpio
Lonicera caerulea
Prunus salicina
Penicillium citrinum
Pisum sativum
Zornia gibbosa
Ficus microcarpa
Eucalyptus robusta
Chaetomium globosum
Streptomyces microflavus
Dermatophagoides pteronyssinus
Achillea millefolium
Trialeurodes vaporariorum
Ventilago leiocarpa
Aster tataricus
Robinia pseudoacacia
Ziziphus jujuba
Humulus scandens
Streptomyces coelicolor
Scylla paramamosain
Lonicera confusa
Lagerstroemia indica
Bupleurum falcatum
Chondrus crispus
Erwinia amylovora
Wikstroemia indica
Vaccinium bracteatum
Euphorbia helioscopia
Cichorium intybus
Carassius auratus
Zanthoxylum schinifolium
Euryale ferox
Marsdenia tenacissima
Angelica acutiloba
Cucurbita maxima
Paracoccus denitrificans
Magnaporthe grisea
Allium hookeri
Dictamnus dasycarpus
Clausena lansium
Ficus pumila
Serenoa repens
Sinomenium acutum
Scientific name
Cynanchum otophyllum
Sophora alopecuroides
Citrus junos
Neurospora crassa
Cananga odorata
Actinidia chinensis
Sinapis alba
Rhodotorula glutinis
Cervus elaphus
Kadsura longepedunculata
Ulmus davidiana
Citrus sinensis
Pteridium aquilinum
Protaetia brevitarsis
Francisella tularensis
Gynura divaricata
Valeriana officinalis
Rhodomyrtus tomentosa
Atractylodes japonica
Bacillus firmus
Viscum album
Coreopsis tinctoria
Peucedanum praeruptorum
Valeriana jatamansi
Hovenia acerba
Arnica montana
Zanthoxylum nitidum
Sipunculus nudus
Apium graveolens
Gerbera jamesonii
Passiflora edulis
Prunus humilis
Clinopodium polycephalum
Santalum album
Bacillus lentus
Linum usitatissimum
Nostoc commune
Akebia quinata
Ureaplasma urealyticum
Lycopus lucidus
Bacterium bacillus
Ficus simplicissima
Corynebacterium diphtheriae
Frankliniella occidentalis
Propionibacterium freudenreichii
Sedum lineare
Aphidius gifuensis
Glehnia littoralis
Citrobacter freundii
Rubus parvifolius
Gymnadenia conopsea
Colocasia esculenta
Gomphrena globosa
Isatis tinctoria
Rhodotorula mucilaginosa
Stellaria media
Leonurus japonicus
Trichoderma atroviride
Sorghum bicolor
Streptomyces albus
Spinacia oleracea
Entada phaseoloides
Thlaspi arvense
Euphorbia humifusa
Nitraria tangutorum
Bacillus mycoides
Artemisia vulgaris
Tinospora cordifolia
Hemerocallis fulva
Caragana sinica
Osbeckia chinensis
Rosa canina
Eurycoma longifolia
Dermatophagoides farinae
Bacillus atrophaeus
Aedes aegypti
Thiobacillus denitrificans
Euphorbia hirta
Castanea mollissima
Corchorus olitorius
Diospyros kaki
Pantoea agglomerans
Ageratum conyzoides
Pimpinella diversifolia
Prunus avium
Juncus effusus
Boschniakia rossica
Litsea pungens
Acetobacter aceti
Pseudomonas chlororaphis
Bacillus siamensis
Xenopus laevis
Echinococcus granulosus
Trachinotus ovatus
Pinus densiflora
Edgeworthia chrysantha
Osmunda japonica
Akebia trifoliata
Swertia japonica
Saccharopolyspora spinosa
Artemisia scoparia
Piper wallichii
Pythium irregulare
Pichia kudriavzevii
Lycoris radiata
Corbicula fluminea
Taraxacum mongolicum
Lactobacillus curvatus
Panonychus citri
Euglena gracilis
Cyathula officinalis
Ruscus aculeatus
Acetobacter pasteurianus
Streptomyces lividans
Daphne genkwa
Rhodococcus ruber
Citrus medica
Blakeslea trispora
Aster ageratoides
Tamarindus indica
Liriope spicata
Coptis japonica
Artocarpus heterophyllus
Bacopa monnieri
Bacillus aryabhattai
Spodoptera exigua
Eupolyphaga sinensis
Papaver somniferum
Litsea coreana
Brevibacillus brevis
Bacillus tequilensis
Mirabilis jalapa
Nauclea officinalis
Arundina graminifolia
Elaeagnus angustifolia
Kadsura coccinea
Chlorophytum comosum
Aesculus hippocastanum
Rhizomucor miehei
Phlomis umbrosa
Nepeta cataria
Taraxacum officinale
Viola philippica
Choerospondias axillaris
Zygosaccharomyces rouxii
Quercus acutissima
Mycoplasma synoviae
Gelidium amansii
Entamoeba histolytica
Epimedium koreanum
Mycoplasma genitalium
Aedes albopictus
Acidithiobacillus ferrooxidans
Erycibe obtusifolia
Ulmus pumila
Calophyllum inophyllum
Gelsemium elegans
Zostera marina
Premna microphylla
Allium tuberosum
Humicola insolens
